trans_mode,dis_mean,dis_std,dis_median,dis_min,dis_max,spe_mean,spe_std,spe_median,spe_min,spe_max,acc_mean,acc_std,acc_median,acc_min,acc_max,bea_mean,bea_std,bea_median,bea_min,bea_max
train,2633.881439774276,13795.764585809871,148.5353552331274,0.0,102461.5002335425,8.26714143950834,10.145270681957683,2.5175483937818206,0.0,32.74452440670126,0.002209631830923133,0.0028566509902124403,0.0004892108273033612,2.6383641445527227e-32,0.009403966911256594,5.060996125001275,1.3520649855558629,4.316012980040056,3.2338107676683427,9.316353231892387
train,4680.377097471157,24475.965976771527,1247.1447628270676,0.0,227576.39896183985,16.47338501062882,11.56923516449676,20.25884216274966,0.0,32.34141944375346,0.004507768039011378,0.00338170165479281,0.0056814276771338075,1.2800385617900622e-12,0.009525028200234683,6.496885722405997,1.848798337950865,7.681261845253282,3.2337525420501727,9.084329137691917
train,6923.718932993267,41037.95619910538,0.0,0.0,288586.59176117333,8.33095257524293,11.50127961840559,0.0,0.0,31.579034855597378,0.0022081558074845205,0.0032655774759881738,4.377667054666137e-08,1.3310639146188745e-61,0.009071828456075086,6.269893015175035,0.5893663707928721,6.283185307179586,3.6486021502674326,9.344535679984407
train,5563.742298745531,28445.251342528325,1127.1808687966823,0.0,178610.691525857,17.168129257578123,10.013527061181572,18.9840412417695,0.0,29.992440217395036,0.011269362554534593,0.0401625707526616,0.005452056476709553,8.534203768039972e-23,0.25500166006413255,6.030909426277028,2.261898041202961,6.283185307179586,3.305980694801107,9.322508395300781
train,7915.136945723484,39910.107545239385,690.8213197068037,0.0,307420.4582508153,13.673375489929334,12.927110154668174,11.223142425824333,0.0,30.488089585106767,0.0037362214289277697,0.0037648639320056435,0.002271648056399381,0.0,0.008755919378321013,7.371791518426856,1.1358925415362324,7.789783273289094,3.34679244937565,9.245410841492953
walk,1.3447987129774912,1.6479890300385664,1.1102455854364954,0.0,21.607402618400272,1.0856404231686319,0.4773027712317157,1.056834028577271,0.0,3.843532662911539,0.5660978553141942,0.48193011259507706,0.47549492028096546,1.3054697763763116e-05,3.0096073725675963,7.018329383214231,2.512641169956723,8.543088400435835,3.141592653589793,9.411251452725315
taxi,6.176419432359592,3.694016125079577,5.599362129246516,0.3330735707512851,14.791314349998563,5.974748746597112,3.65281728883349,5.458477733028419,0.1896862775096075,12.464483521900735,3.0262638595780906,2.1552996085867004,2.7165929363376837,0.0011967896605735787,7.113539026859374,7.901952582536019,1.274326693225331,8.612139856645047,3.141592653589793,9.30431843592939
bus,30.270628904595718,34.60044486483998,23.43637907557869,0.0,441.6497999952454,7.25191034895245,3.7056844936984454,7.101090465827842,0.0,16.498964974215383,2.473543061381512,3.8558865650177077,0.1901484117589705,3.0310290622034353e-06,13.051309665458847,5.311676380015267,1.137172814142333,5.142295567581886,3.141592653589793,9.412839442006677
train,3415.851976213492,16858.363928042785,464.6568522578973,0.0,124340.11456987828,11.074666494661486,11.670074777093522,7.875539868777921,0.0,29.81986727863836,0.004045761896999066,0.00847882242511198,0.0018841946307776292,0.0,0.06291724457652771,5.483489949323158,0.6096242446734197,5.08916458243259,4.7123900136418415,6.283185307179586
taxi,12.816567821658312,5.371111115478996,13.473609690265118,0.0,22.258051745328057,12.816567821658312,5.371111115478996,13.473609690265118,0.0,22.258051745328057,6.4165720091850815,3.764998799134634,6.898128422875683,0.009351331793829853,13.147376949015268,4.40815168337008,0.8416278104715873,4.4367653526278374,3.141592653589793,9.323922849132908
